Sample_name	Weight
907064	1.0
907290	1.0
907058	1.0
753556	1.0
1298537	1.0
910919	1.0
946360	1.0
908149	4.504
1298475	1.0
1298347	1.0
906812	1.0
1299070	1.0
688007	1.0
1290455	1.0
925348	1.0
908446	4.504
753578	1.0
753599	1.0
907783	1.0
753576	1.0
1240122	1.0
908122	4.504
905938	1.0
909729	1.0
907300	4.504
905986	1.0
1240131	1.0
753533	1.0
924240	4.504
1331032	1.0
909784	4.504
909718	1.0
1240130	1.0
924110	1.0
910687	1.0
687588	4.504
1331045	1.0
687600	4.504
1330985	1.0
906814	4.504
910850	1.0
687448	1.0
1298351	1.0
688001	1.0
1240198	1.0
688021	4.504
909720	1.0
907048	4.504
971777	1.0
907280	1.0
724879	1.0
910921	1.0
909701	1.0
908443	1.0
905982	1.0
753562	1.0
949168	4.504
906872	1.0
906854	1.0
949176	1.0
1240134	4.504
1240205	4.504
1240149	1.0
907056	1.0
906820	1.0
1299075	1.0
1240166	1.0
1298219	4.504
910779	1.0
1290725	1.0
909744	1.0
724873	1.0
1240206	1.0
907271	1.0
1240162	1.0
909754	4.504
910781	1.0
1298476	1.0
906848	1.0
1298359	1.0
910706	1.0
907169	1.0
713880	1.0
924186	1.0
905954	4.504
909725	4.504
1240147	1.0
1331025	4.504
1240182	4.504
949174	4.504
1240138	1.0
1299061	1.0
949160	1.0
949093	4.504
687777	1.0
687561	1.0
909248	1.0
1299059	1.0
688013	1.0
910861	4.504
1287706	1.0
909194	1.0
946370	4.504
905964	1.0
1303896	1.0
910401	1.0
906875	1.0
907321	1.0
909750	1.0
1290814	4.504
949157	1.0
907176	1.0
910549	1.0
1298538	4.504
909704	1.0
1331049	1.0
1240173	1.0
908447	1.0
1295741	1.0
906849	1.0
905942	1.0
909739	1.0
1240141	4.504
1247871	1.0
907274	1.0
753623	1.0
905935	1.0
911905	1.0
753573	1.0
753541	1.0
908448	1.0
1240209	1.0
905983	1.0
949166	1.0
1290908	1.0
905947	1.0
946372	1.0
908475	1.0
907295	4.504
910703	1.0
908452	1.0
909708	1.0
907272	1.0
907311	1.0
1330947	1.0
910710	1.0
1240215	1.0
908144	1.0
1297449	1.0
910925	1.0
1240223	1.0
905965	1.0
906801	1.0
924100	1.0
949178	1.0
683667	1.0
1240204	1.0
905934	4.504
908142	1.0
906871	1.0
1240168	1.0
946382	1.0
1290809	1.0
1240210	1.0
909260	1.0
1330950	1.0
908139	1.0
908467	1.0
753579	1.0
1240169	1.0
907270	4.504
687562	1.0
946377	1.0
1327769	1.0
1240158	1.0
910079	1.0
1299078	1.0
909724	1.0
1299081	1.0
688027	1.0
1240187	1.0
905961	1.0
724831	1.0
908451	1.0
753604	1.0
910692	1.0
1331037	1.0
684059	1.0
909975	1.0
724855	4.504
908141	1.0
907047	1.0
1330984	1.0
949173	4.504
684055	1.0
1290798	1.0
949088	1.0
905989	1.0
909264	1.0
1297447	1.0
905936	1.0
1240189	1.0
1240186	4.504
908123	1.0
1290808	1.0
910952	1.0
908450	1.0
910916	1.0
910930	1.0
753534	1.0
687812	1.0
906832	1.0
749717	1.0
687780	1.0
949171	1.0
910544	1.0
907173	4.504
1298136	1.0
753572	1.0
