Sample_name	Weight
924186	1.0
1299078	1.8596491228070176
724878	1.8596491228070176
753566	1.8596491228070176
908147	1.0
949158	1.0
910694	1.8596491228070176
907058	1.0
753600	1.8596491228070176
1330984	1.0
924107	1.0
905964	1.0
906817	1.8596491228070176
1480362	1.8596491228070176
906839	1.8596491228070176
906830	1.8596491228070176
1240197	1.0
908475	1.0
684052	1.0
910952	1.8596491228070176
905989	1.0
908138	1.8596491228070176
906795	1.8596491228070176
907789	1.0
1330985	1.0
908457	1.8596491228070176
910549	1.8596491228070176
909776	1.8596491228070176
1240201	1.0
1290722	1.0
1240172	1.8596491228070176
910924	1.0
949172	1.0
1240199	1.8596491228070176
908473	1.8596491228070176
910703	1.0
687590	1.8596491228070176
1290806	1.0
906835	1.8596491228070176
1297447	1.0
908446	1.0
907799	1.0
906818	1.0
1298538	1.0
905949	1.0
908443	1.8596491228070176
753615	1.8596491228070176
909757	1.8596491228070176
1240127	1.8596491228070176
753616	1.0
910710	1.0
910921	1.0
724863	1.0
907794	1.0
909719	1.0
906797	1.8596491228070176
906841	1.0
1240222	1.8596491228070176
687799	1.0
1240123	1.0
1240159	1.8596491228070176
908450	1.0
906868	1.0
909697	1.0
749709	1.0
907042	1.0
1331048	1.0
1298347	1.8596491228070176
906798	1.0
949088	1.0
924102	1.8596491228070176
905977	1.8596491228070176
910936	1.8596491228070176
906820	1.0
753539	1.0
925346	1.8596491228070176
1240149	1.0
909723	1.0
684055	1.0
908123	1.0
909904	1.8596491228070176
908452	1.0
688086	1.0
909252	1.0
909759	1.8596491228070176
909725	1.8596491228070176
908444	1.0
905938	1.0
1290908	1.8596491228070176
909731	1.0
1303900	1.0
949177	1.0
908130	1.0
687562	1.0
713885	1.8596491228070176
1298136	1.0
909736	1.8596491228070176
1327768	1.0
1503366	1.8596491228070176
908454	1.0
1240184	1.8596491228070176
1240141	1.8596491228070176
909715	1.0
909251	1.0
908148	1.0
907050	1.8596491228070176
909256	1.0
688010	1.0
907787	1.0
